"","country","points","price","province","title","variety","winery"
"936","US",92,55,"California","Schramsberg 2012 Querencia Brut Rosé Sparkling (Napa Valley)","Sparkling Blend","Schramsberg"
"937","US",88,30,"California","Tudal 2005 Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Tudal"
"938","Greece",90,16,"Mantinia","Boutari 2013 Moschofilero (Mantinia)","Moschofilero","Boutari"
"939","Australia",90,36,"Victoria","Tournon by Michel Chapoutier 2012 Shay's Flat Vineyard Shiraz (Pyrenees)","Shiraz","Tournon by Michel Chapoutier"
"940","Italy",88,22,"Central Italy","Collevite 2012 Villa Piatti  (Offida Pecorino)","Pecorino","Collevite"
"941","France",91,15,"Beaujolais","Château de Pizay 2011  Morgon","Gamay","Château de Pizay"
"942","France",90,56,"Champagne","Nicolas Feuillatte 2006 Blanc de Blancs Brut Chardonnay (Champagne)","Chardonnay","Nicolas Feuillatte"
"943","Portugal",88,18,"Lisboa","Quinta de Chocapalha 2014 Branco White (Lisboa)","Portuguese White","Quinta de Chocapalha"
"944","Australia",91,69,"South Australia","Penfolds 2014 Bin 407 Cabernet Sauvignon (South Australia)","Cabernet Sauvignon","Penfolds"
"945","Portugal",93,20,"Dão","Sogrape 2010 Quinta dos Carvalhais Colheita Red (Dão)","Portuguese Red","Sogrape"
"946","US",84,11,"California","Heartache 2012 Passionate Squeeze Pinot Grigio (California)","Pinot Grigio","Heartache"
"947","US",92,71,"California","Small Vines 2010 MK Vineyard Pinot Noir (Sonoma Coast)","Pinot Noir","Small Vines"
"948","Portugal",91,15,"Douro","Messias 2004 Quinta do Cachão Grande Escolha Red (Douro)","Portuguese Red","Messias"
"949","Italy",92,NA,"Piedmont","Viglione Antonio 2012 Meo  (Roero)","Nebbiolo","Viglione Antonio"
"950","US",86,14,"California","Jamieson Ranch 2011 Whiplash Chardonnay (California)","Chardonnay","Jamieson Ranch"
"951","Spain",90,43,"Northern Spain","Aldonia 2007 La Dama  (Rioja)","Tempranillo Blend","Aldonia"
"952","US",94,46,"California","Carlisle 2012 Saitone Vineyard Zinfandel (Russian River Valley)","Zinfandel","Carlisle"
"953","Italy",86,15,"Piedmont","Ioppa 2013 Nebbiolo (Colline Novaresi)","Nebbiolo","Ioppa"
"954","France",87,27,"Loire Valley","Fournier Père et Fils 2014 Les Belles Vignes  (Sancerre)","Pinot Noir","Fournier Père et Fils"
"955","US",82,16,"Virginia","Stanburn 2011 Cabernet Franc (Virginia)","Cabernet Franc","Stanburn"
"956","Portugal",90,15,"Dão","Casa da Passarella 2014 Tinto Red (Dão)","Portuguese Red","Casa da Passarella"
"957","Chile",90,40,"Maipo Valley","Agustinos 2013 Escorial Limited Selection Cabernet Sauvignon (Maipo Valley)","Cabernet Sauvignon","Agustinos"
"958","Australia",86,15,"Western Australia","Fonty's Pool 2006 Single Vineyard Viognier (Pemberton)","Viognier","Fonty's Pool"
"959","US",88,15,"New York","Seneca Shore NV Amulet DeMarco Vineyards Lemberger (Seneca Lake)","Lemberger","Seneca Shore"
"960","Argentina",90,55,"Mendoza Province","Trapiche 2012 Terroir Series Finca Coletto Single Vineyard Malbec (Uco Valley)","Malbec","Trapiche"
"961","US",92,62,"California","Dutton-Goldfield 2013 Dutton Ranch Emerald Ridge Vineyard Pinot Noir (Green Valley)","Pinot Noir","Dutton-Goldfield"
"962","France",91,23,"Provence","Mas de Cadenet 2014 Rosé (Côtes de Provence Sainte-Victoire)","Rosé","Mas de Cadenet"
"963","Chile",84,14,"Casablanca Valley","Viu Manent 2010 Reserva Chardonnay (Casablanca Valley)","Chardonnay","Viu Manent"
"964","US",84,5,"California","Gallo Family Vineyards NV Twin Valley Moscato (California)","Moscato","Gallo Family Vineyards"
"965","Italy",91,35,"Southern Italy","Basilisco 2012  Aglianico del Vulture","Aglianico","Basilisco"
"966","US",86,16,"California","Radog 2006 Dry Gewürztraminer (Monterey County)","Gewürztraminer","Radog"
"967","Italy",88,181,"Piedmont","Ceretto 2014 Asili  (Barbaresco)","Nebbiolo","Ceretto"
"968","Italy",86,15,"Lombardy","Tommasi 2013 Le Fornaci  (Lugana)","Turbiana","Tommasi"
"969","Spain",84,53,"Galicia","Quinta da Muradella 2010 Gorvia Doña Blanca (Monterrei)","Doña Blanca","Quinta da Muradella"
"970","France",84,7,"Bordeaux","Calvet 1998  Bordeaux","Bordeaux-style Red Blend","Calvet"
"971","US",88,39,"Oregon","Gersing 2015 Madrona Hill Vineyard Pinot Noir (Chehalem Mountains)","Pinot Noir","Gersing"
"972","US",84,44,"California","AronHill NV Vinho Doce Red (California)","Red Blend","AronHill"
"973","France",91,22,"Beaujolais","Domaine de Grand Garant 2015 Le Vivier  (Fleurie)","Gamay","Domaine de Grand Garant"
"974","France",88,16,"Southwest France","Domaine de Ménard 2015 Gros Manseng Moelleux Gros Manseng (Côtes de Gascogne)","Gros Manseng","Domaine de Ménard"
"975","US",89,45,"California","Shafer 2005 Red Shoulder Ranch Chardonnay (Carneros)","Chardonnay","Shafer"
"976","France",86,NA,"Bordeaux","Château Thieuley 2011 Rosé (Bordeaux Rosé)","Rosé","Château Thieuley"
"977","Portugal",89,24,"Douro","Prats & Symington LDA 2007 Post Scriptum de Chryseia Red (Douro)","Portuguese Red","Prats & Symington LDA"
"978","Italy",86,14,"Tuscany","Antonino Tringali-Casanuova 2004 Patrimonio  (Bolgheri)","Red Blend","Antonino Tringali-Casanuova"
"979","Italy",87,21,"Sicily & Sardinia","Cambria 2009 Syrah (Sicilia)","Syrah","Cambria"
"980","Australia",93,60,"Victoria","Innocent Bystander 2014 Mea Culpa Syrah (Yarra Valley)","Syrah","Innocent Bystander"
"981","Slovenia",89,12,"Primorska","Giocato 2014 Pinot Grigio (Primorska)","Pinot Grigio","Giocato"
"982","Italy",90,75,"Piedmont","Castello di Neive 2009 Albesani Santo Stefano Riserva  (Barbaresco)","Nebbiolo","Castello di Neive"
"983","Spain",86,16,"Catalonia","Mont Marçal 2009 Brut Reserva Sparkling (Cava)","Sparkling Blend","Mont Marçal"
"984","Chile",88,NA,"Colchagua Valley","Caliterra 2007 Tributo Edicion Limitada Red (Colchagua Valley)","Red Blend","Caliterra"
"985","France",92,100,"Burgundy","Domaine Pierre Labet 2013 Coucherias Premier Cru  (Beaune)","Pinot Noir","Domaine Pierre Labet"
"986","Portugal",86,9,"Tejo","Casa Cadaval 2013 Vinha Padre Pedro Red (Tejo)","Portuguese Red","Casa Cadaval"
"987","US",92,50,"California","Walt 2012 Dutton Ranch Chardonnay (Russian River Valley)","Chardonnay","Walt"
"988","US",83,25,"California","Courtney Benham 2011 Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Courtney Benham"
"989","US",90,36,"California","Andrew Murray 2013 Esperance Curtis Vineyard Red (Santa Ynez Valley)","Rhône-style Red Blend","Andrew Murray"
"990","France",93,90,"Rhône Valley","Domaine des Remizières 2011 Cuvée Emilie  (Hermitage)","Syrah","Domaine des Remizières"
"991","France",93,26,"Alsace","Domaine Bott-Geyl 2014 Les Élements Gewurztraminer (Alsace)","Gewürztraminer","Domaine Bott-Geyl"
"992","US",90,40,"California","Boatique 2012 Cabernet Sauvignon (Red Hills Lake County)","Cabernet Sauvignon","Boatique"
"993","US",90,23,"California","Lafond 2015 SRH Chardonnay (Sta. Rita Hills)","Chardonnay","Lafond"
"994","US",89,30,"California","Rancho Sisquoc 2014 Pinot Noir (Santa Barbara County)","Pinot Noir","Rancho Sisquoc"
"995","US",85,15,"California","Magnolia Court 2013 Chardonnay (Central Coast)","Chardonnay","Magnolia Court"
"996","Italy",88,NA,"Piedmont","Fontana 2011 Villero  (Barolo)","Nebbiolo","Fontana"
"997","Australia",89,18,"South Australia","Longwood 2006 The Shearer Shiraz (McLaren Vale)","Shiraz","Longwood"
"998","US",90,44,"California","Westwood 2015 Annadel Gap Vineyard Estate Pinot Noir (Sonoma County)","Pinot Noir","Westwood"
"999","US",87,36,"California","Bonterra 2006 The McNab Red (Mendocino County)","Red Blend","Bonterra"
"1000","Austria",89,19,"Kremstal","Winzer Krems 2012 Kellermeister Privat Kremser Kremsleiten Riesling (Kremstal)","Riesling","Winzer Krems"
"1001","South Africa",85,13,"Western Cape","Porcupine Ridge 2009 Sauvignon Blanc (Western Cape)","Sauvignon Blanc","Porcupine Ridge"
"1002","Italy",89,21,"Tuscany","Il Molino di Grace 2012  Chianti Classico","Sangiovese","Il Molino di Grace"
"1003","Italy",86,NA,"Tuscany","Fossacolle 2010 Riesci Red (Toscana)","Red Blend","Fossacolle"
"1004","US",92,55,"Washington","Sequel 2013 Syrah (Columbia Valley (WA))","Syrah","Sequel"
"1005","Germany",86,18,"Rheinhessen","Weingut Georg Albrecht Schneider 2013 Vom Rotliegenden Red Soil Trocken Riesling (Rheinhessen)","Riesling","Weingut Georg Albrecht Schneider"
"1006","US",87,24,"California","Acquiesce 2015 Viognier (Lodi)","Viognier","Acquiesce"
"1007","Germany",91,50,"Mosel","Dr. Loosen 2012 Erdener Prälat Alte Reben GG Dry Riesling (Mosel)","Riesling","Dr. Loosen"
"1008","US",90,22,"California","Joseph Swan Vineyards 2010 Trenton Station Vineyard Pinot Gris (Russian River Valley)","Pinot Gris","Joseph Swan Vineyards"
"1009","US",92,40,"California","Mattina Fiore 2013 Fiorellino Murmur Vineyard Late Harvest Viognier (Santa Maria Valley)","Viognier","Mattina Fiore"
"1010","Italy",90,64,"Tuscany","Romeo 2011 Lipitiresco  (Vino Nobile di Montepulciano)","Sangiovese","Romeo"
"1011","Australia",92,60,"South Australia","Wakefield 2013 St Andrews Single Vineyard Release Cabernet Sauvignon (Clare Valley)","Cabernet Sauvignon","Wakefield"
"1012","US",90,60,"Washington","Eternal 2015 Eternal Restraint Syrah (Walla Walla Valley (WA))","Syrah","Eternal"
"1013","Australia",83,8,"South Australia","Oxford Landing 2008 Cabernet Sauvignon (South Australia)","Cabernet Sauvignon","Oxford Landing"
"1014","US",91,50,"California","Poseidon 2013 Boon Fly's Hill Chardonnay (Carneros)","Chardonnay","Poseidon"
"1015","Portugal",91,27,"Douro","Van Zellers 2013 VZ Tinto Red (Douro)","Portuguese Red","Van Zellers"
"1016","Spain",87,12,"Catalonia","Freixenet NV Cordon Negro Brut Sparkling (Cava)","Sparkling Blend","Freixenet"
"1017","Italy",87,20,"Veneto","Bortolotti NV Dry  (Conegliano Valdobbiadene Prosecco Superiore)","Glera","Bortolotti"
"1018","Italy",90,55,"Tuscany","Marchesi de' Frescobaldi 2012 Ammiraglia  (Maremma Toscana)","Syrah","Marchesi de' Frescobaldi"
"1019","US",93,48,"California","Testarossa 2014 Dos Rubios Vineyard Chardonnay (Santa Lucia Highlands)","Chardonnay","Testarossa"
"1020","Italy",93,120,"Northeastern Italy","Gravner 2003 Anfora Ribolla Gialla (Venezia Giulia)","Ribolla Gialla","Gravner"
"1021","US",87,30,"California","High Valley Vineyard 2012 Zinfandel (High Valley)","Zinfandel","High Valley Vineyard"
"1022","Spain",95,50,"Northern Spain","Dominio de Atauta 2006  Ribera del Duero","Red Blend","Dominio de Atauta"
"1023","Argentina",84,11,"Mendoza Province","O. Fournier 2008 Urban Uco Malbec (Uco Valley)","Malbec","O. Fournier"
"1024","US",88,42,"California","CUTT 2012 Fearless Red (Napa Valley)","Red Blend","CUTT"
"1025","US",91,50,"California","Galerie 2012 Latro Cabernet Sauvignon (Knights Valley)","Cabernet Sauvignon","Galerie"
"1026","US",84,13,"California","Jekel 2007 Gravelstone Chardonnay (Monterey)","Chardonnay","Jekel"
"1027","Italy",88,55,"Tuscany","Tenute del Cerro 2009 Antica Chiusina  (Vino Nobile di Montepulciano)","Red Blend","Tenute del Cerro"
"1028","France",92,55,"Southwest France","Domaine de Cause 2010 Notre Dame des Champs Malbec (Cahors)","Malbec","Domaine de Cause"
"1029","US",85,49,"Washington","Gianni Buonomo 2012 Sangiovese (Washington)","Sangiovese","Gianni Buonomo"
"1030","US",91,25,"Washington","Darby 2009 Boushey Vineyard Marsanne (Yakima Valley)","Marsanne","Darby"
"1031","Italy",87,NA,"Veneto","Albino Armani 2014 Corvara Pinot Grigio (Valdadige)","Pinot Grigio","Albino Armani"
"1032","US",84,35,"California","Balverne 2010 Estate Grown Pinot Noir (Russian River Valley)","Pinot Noir","Balverne"
"1033","US",93,50,"California","Longoria 2014 Rita's Crown Vineyard Chardonnay (Sta. Rita Hills)","Chardonnay","Longoria"
"1034","New Zealand",93,105,"Hawke's Bay","Craggy Range 2013 Le Sol Gimblett Gravels Syrah (Hawke's Bay)","Syrah","Craggy Range"
"1035","Portugal",90,22,"Alentejo","Adega Cooperativa de Borba 2002 Garrafeira Red (Alentejo)","Portuguese Red","Adega Cooperativa de Borba"
"1036","Italy",90,75,"Veneto","Tommasi 2009  Amarone della Valpolicella Classico","Red Blend","Tommasi"
"1037","Italy",89,28,"Tuscany","Tenuta Il Poggione 2008  Rosso di Montalcino","Sangiovese Grosso","Tenuta Il Poggione"
"1038","US",92,36,"California","Sol Rouge 2013 Syrah (Red Hills Lake County)","Syrah","Sol Rouge"
"1039","France",93,129,"Burgundy","Louis Latour 2009 Château Corton Grancey  (Corton)","Pinot Noir","Louis Latour"
"1040","Chile",88,20,"Maipo Valley","Carmen 2007 Reserva Carmenère-Cabernet Sauvignon (Maipo Valley)","Carmenère-Cabernet Sauvignon","Carmen"
"1041","US",92,69,"California","Spotted Owl 2007 Alexandria's Cuvée Syrah (Mount Veeder)","Syrah","Spotted Owl"
"1042","Italy",93,35,"Southern Italy","Re Manfredi 2010 Serpara  (Aglianico del Vulture)","Aglianico","Re Manfredi"
"1043","France",93,75,"Champagne","Laurent-Perrier NV Ultra Brut  (Champagne)","Champagne Blend","Laurent-Perrier"
"1044","US",85,18,"Idaho","Williamson Vineyard 2009 Sangiovese","Sangiovese","Williamson Vineyard"
"1045","Portugal",89,19,"Alentejano","Herdade do Esporão 2005 Trincadeira (Alentejano)","Trincadeira","Herdade do Esporão"
"1046","Spain",87,8,"Central Spain","Viña Albali 2012 Smooth Red Tempranillo (Valdepeñas)","Tempranillo","Viña Albali"
"1047","US",90,32,"California","Les Voleurs 2013 Pinot Noir (Sonoma Coast)","Pinot Noir","Les Voleurs"
"1048","France",91,39,"Bordeaux","Château Nenin 2014  Pomerol","Bordeaux-style Red Blend","Château Nenin"
"1049","France",90,35,"Provence","Château d'Esclans 2015 Rock Angel Rosé (Côtes de Provence)","Rosé","Château d'Esclans"
"1050","US",87,16,"Washington","Boomtown 2011 Cabernet Sauvignon (Washington)","Cabernet Sauvignon","Boomtown"
"1051","Argentina",85,13,"Mendoza Province","Ombu 2008 Merlot","Merlot","Ombu"
"1052","US",87,10,"Washington","Two Ponds 2012 Sauvignon Blanc (Columbia Valley (WA))","Sauvignon Blanc","Two Ponds"
"1053","Portugal",90,40,"Alentejano","J. Portugal Ramos 2006 Quinta da Viçosa T.M. Red (Alentejano)","Touriga Nacional Blend","J. Portugal Ramos"
"1054","US",86,16,"Washington","Maryhill 2007 Pinot Gris (Columbia Valley (WA))","Pinot Gris","Maryhill"
"1055","US",92,30,"Washington","Bunchgrass 2012 The Bard Red (Walla Walla Valley (WA))","Red Blend","Bunchgrass"
"1056","Italy",88,45,"Lombardy","Contadi Castaldi 2009 Soul Satén Chardonnay (Franciacorta)","Chardonnay","Contadi Castaldi"
"1057","US",80,15,"California","Finnegan's Lake 2007 Fin Cabernet Sauvignon (California)","Cabernet Sauvignon","Finnegan's Lake"
"1058","US",91,40,"California","Schug 2013 Heritage Reserve Chardonnay (Carneros)","Chardonnay","Schug"
"1059","US",92,85,"Oregon","Archery Summit 2013 Renegade Ridge Estate Pinot Noir (Dundee Hills)","Pinot Noir","Archery Summit"
"1060","US",89,24,"California","Still Waters 2013 Estate Viognier (Paso Robles)","Viognier","Still Waters"
"1061","Austria",90,NA,"Südsteiermark","Gross 2012 Sulz Sauvignon Blanc (Südsteiermark)","Sauvignon Blanc","Gross"
"1062","Germany",90,53,"Nahe","Schloss Wallhausen 2006 Prinz Salm Johannisberg Wallhausen Auslese Riesling (Nahe)","Riesling","Schloss Wallhausen"
"1063","England",92,27,"England","Ridgeview Estate NV Bloomsbury Brut Sparkling (England)","Sparkling Blend","Ridgeview Estate"
"1064","US",87,10,"New York","Merritt NV Bella Rosa Red (New York)","Red Blend","Merritt"
"1065","US",93,45,"Oregon","Élevée Winegrowers 2013 Élevée Vineyard Pinot Noir (Dundee Hills)","Pinot Noir","Élevée Winegrowers"
"1066","Australia",86,12,"South Australia","Wolf Blass 2006 Yellow Label Chardonnay (South Australia)","Chardonnay","Wolf Blass"
"1067","US",91,36,"California","McIntyre Vineyards 2012 Estate 25th Anniversary Pinot Noir (Santa Lucia Highlands)","Pinot Noir","McIntyre Vineyards"
"1068","US",88,36,"California","Campovida 2011 Estate Riserva Viognier (Mendocino County)","Viognier","Campovida"
"1069","France",85,11,"Languedoc-Roussillon","Les Deux Rives 2006 Red (Corbières)","Rhône-style Red Blend","Les Deux Rives"
"1070","US",88,13,"California","Sobon Estate 2014 Old Vine Zinfandel (Amador County)","Zinfandel","Sobon Estate"
"1071","US",89,25,"Oregon","Syncline 2006 Celilo Vineyard Pinot Noir (Columbia Gorge (OR))","Pinot Noir","Syncline"
"1072","US",86,18,"California","Silver Buckle 2011 Chardonnay (Lodi)","Chardonnay","Silver Buckle"
"1073","US",84,13,"California","Chime 2010 Pinot Noir (California)","Pinot Noir","Chime"
"1074","New Zealand",88,18,"Marlborough","Forrest 2013 The Doctors' Sauvignon Blanc (Marlborough)","Sauvignon Blanc","Forrest"
"1075","Argentina",81,12,"Mendoza Province","Pascual Toso 2011 Estate Bottled Torrontés (Mendoza)","Torrontés","Pascual Toso"
"1076","US",83,NA,"Virginia","General's Ridge 2011 Merlot (Virginia)","Merlot","General's Ridge"
"1077","Israel",90,56,"Judean Hills","Recanati 2010 Reserve Wild Carignan (Judean Hills)","Carignan","Recanati"
"1078","US",92,40,"California","Longboard 2008 Ledbetter Family Vineyard Syrah (Russian River Valley)","Syrah","Longboard"
"1079","US",87,30,"California","Langtry 2008 Genevieve Vineyard Chardonnay (Guenoc Valley)","Chardonnay","Langtry"
"1080","US",92,95,"California","Barnett 2012 Cyrus Ryan Vineyard Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Barnett"
"1081","Italy",82,9,"Piedmont","Bella Bollè NV Pink Moscato (Piedmont)","Moscato","Bella Bollè"
"1082","Italy",90,50,"Tuscany","Marchesi de' Frescobaldi 2003 Castello di Nipozzano Mormoreto Red (Toscana)","Red Blend","Marchesi de' Frescobaldi"
"1083","France",88,NA,"Alsace","Leon Beyer 2010 Riesling (Alsace)","Riesling","Leon Beyer"
"1084","US",94,40,"California","Lynmar 2009 Quail Hill Vineyard Chardonnay (Russian River Valley)","Chardonnay","Lynmar"
"1085","US",84,18,"New York","Anthony Road 2006 Cabernet Franc-Lemberger Red (Finger Lakes)","Red Blend","Anthony Road"
"1086","US",93,60,"California","Kimsey 2014 Syrah (Ballard Canyon)","Syrah","Kimsey"
"1087","France",87,28,"Alsace","Gustave Lorentz NV Brut Sparkling (Crémant d'Alsace)","Sparkling Blend","Gustave Lorentz"
"1088","Chile",85,9,"Rapel Valley","Santa Rita 2007 120 Merlot (Rapel Valley)","Merlot","Santa Rita"
"1089","US",90,105,"California","Raymond 2014 District Collection Cabernet Sauvignon (Oakville)","Cabernet Sauvignon","Raymond"
"1090","France",87,17,"Bordeaux","Château les Clauzots 2013  Graves","Bordeaux-style White Blend","Château les Clauzots"
"1091","France",92,60,"Bordeaux","Château Brown 2010  Pessac-Léognan","Bordeaux-style Red Blend","Château Brown"
"1092","US",90,24,"California","J. Rickards 2009 Brown Barn Vineyard Petite Sirah (Alexander Valley)","Petite Sirah","J. Rickards"
"1093","France",88,29,"Loire Valley","Château de Parnay 2014 Chemin des Murs  (Saumur)","Chenin Blanc","Château de Parnay"
"1094","US",83,29,"California","Kessler-Haak 2011 Chardonnay (Sta. Rita Hills)","Chardonnay","Kessler-Haak"
"1095","US",86,67,"California","Sequum 2010 Kidd Ranch Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Sequum"
"1096","France",91,25,"Alsace","Bestheim 2015 Anne de K Schlossberg Grand Cru Pinot Gris (Alsace)","Pinot Gris","Bestheim"
"1097","US",90,45,"California","Summers 2014 Reserve Merlot (Knights Valley)","Merlot","Summers"
"1098","Portugal",96,66,"Port","Quinta do Vale Meão 2011 Vintage  (Port)","Port","Quinta do Vale Meão"
"1099","US",88,28,"California","Belden Barns 2014 Estate Grown Grüner Veltliner (Sonoma Mountain)","Grüner Veltliner","Belden Barns"
"1100","Spain",90,20,"Northern Spain","Bodegas Valdemar 2007 Conde de Valdemar Reserva  (Rioja)","Tempranillo Blend","Bodegas Valdemar"
"1101","US",88,35,"California","Epiphany 2014 Hampton Vineyard Syrah (Santa Barbara County)","Syrah","Epiphany"
"1102","Italy",84,15,"Tuscany","Poggio Salvi 1998  Chianti Colli Senesi","Sangiovese","Poggio Salvi"
"1103","Croatia",88,16,"Krk","Katunar 2012 Kvalitetno Vino Vinogorje Zlahtina (Krk)","Zlahtina","Katunar"
"1104","Spain",85,8,"Northern Spain","Viña Vilano 2013 Verdejo (Rueda)","Verdejo","Viña Vilano"
"1105","US",86,9,"California","McDowell 2000 Rose Grenache (California)","Grenache","McDowell"
"1106","France",93,NA,"Bordeaux","Château Hosanna 2006  Pomerol","Bordeaux-style Red Blend","Château Hosanna"
"1107","Italy",92,84,"Piedmont","Viberti 2006 La Volta Riserva  (Barolo)","Nebbiolo","Viberti"
"1108","Chile",87,15,"Maipo Valley","Santa Alicia 2010 Anke Blend 2 Carménère-Petit Verdot-Shiraz Red (Maipo Valley)","Red Blend","Santa Alicia"
"1109","US",91,50,"California","Joseph Phelps 2014 Eisrébe Scheurebe (Napa Valley)","Scheurebe","Joseph Phelps"
"1110","France",91,25,"Provence","Domaine Sainte-Marie 2014 VieVité Extraordinaire Rosé (Côtes de Provence)","Rosé","Domaine Sainte-Marie"
"1111","US",87,30,"New York","Pellegrini Vineyards 2013 Cabernet Franc (North Fork of Long Island)","Cabernet Franc","Pellegrini Vineyards"
"1112","Spain",90,17,"Northern Spain","Pictor 2010 6 Meses  (Toro)","Tinta de Toro","Pictor"
"1113","US",88,20,"New York","Lamoreaux Landing 2014 T23 Unoaked Cabernet Franc (Finger Lakes)","Cabernet Franc","Lamoreaux Landing"
"1114","Italy",87,84,"Tuscany","Le Macchiole 1998 Paleo  (Bolgheri)","Cabernet Blend","Le Macchiole"
"1115","Chile",85,12,"Maule Valley","Finca Patagonia 2015 Expedicion Cabernet Sauvignon (Maule Valley)","Cabernet Sauvignon","Finca Patagonia"
"1116","US",89,25,"Washington","Array 2012 Chardonnay (Washington)","Chardonnay","Array"
"1117","US",87,18,"California","Amador Foothill Winery 2008 Esola Vineyard Zinfandel (Shenandoah Valley (CA))","Zinfandel","Amador Foothill Winery"
"1118","New Zealand",90,55,"Martinborough","Dry River 2009 Late Harvest Riesling (Martinborough)","Riesling","Dry River"
"1119","Portugal",86,7,"Lisboa","DFJ Vinhos 2013 Coreto Rosé (Lisboa)","Rosé","DFJ Vinhos"
"1120","Italy",88,21,"Tuscany","Valiano 2006  Chianti Classico","Sangiovese","Valiano"
"1121","US",85,11,"California","Grayson 2015 Lot 11 Chardonnay (California)","Chardonnay","Grayson"
"1122","Chile",83,6,"Maipo Valley","Casa Rivas 2001 Estate Bottled Carmenère (Maipo Valley)","Carmenère","Casa Rivas"
"1123","Austria",91,18,"Burgenland","Iby 2015 Rosé (Burgenland)","Rosé","Iby"
"1124","US",92,50,"Washington","Tamarack Cellars 2012 Tapteil Vineyard Reserve Red (Red Mountain)","Bordeaux-style Red Blend","Tamarack Cellars"
"1125","France",87,14,"Provence","Ravoire et Fils 2014 Château Saint Hippolyte Rosé (Coteaux d'Aix-en-Provence)","Rosé","Ravoire et Fils"
"1126","US",90,28,"California","Honig 2013 Reserve Sauvignon Blanc (Rutherford)","Sauvignon Blanc","Honig"
"1127","France",84,15,"Loire Valley","Alliance Loire 2014 Demoiselle Bleue  (Saumur)","Cabernet Franc","Alliance Loire"
"1128","France",84,25,"Burgundy","Vignerons de Buxy 2015 Buissonnier  (Montagny)","Chardonnay","Vignerons de Buxy"
"1129","France",87,28,"Loire Valley","Domaine Cédrick Bardin 2014  Pouilly-Fumé","Sauvignon Blanc","Domaine Cédrick Bardin"
"1130","Australia",89,65,"South Australia","Angove 2013 Warboys Vineyard Grenache (McLaren Vale)","Grenache","Angove"
"1131","Italy",88,14,"Southern Italy","Lucania 2010 Grifalco  (Aglianico del Vulture)","Aglianico","Lucania"
"1132","France",83,12,"France Other","Union de Vignerons de l'Île de Beauté 2016 Terra d'Ortolo Rosé (Ile de Beauté)","Rosé","Union de Vignerons de l'Île de Beauté"
"1133","US",87,21,"Washington","Stella Fino 2007 Sangiovese (Columbia Valley (WA))","Sangiovese","Stella Fino"
"1134","France",84,11,"Beaujolais","Joseph Drouhin 2012 Nouveau  (Beaujolais)","Gamay","Joseph Drouhin"
"1135","US",90,19,"Washington","Salida 2008 Tres Viños Red (Yakima Valley)","Red Blend","Salida"
"1136","US",85,40,"California","Olabisi 2011 Ceja Vineyard Chardonnay (Carneros)","Chardonnay","Olabisi"
"1137","Italy",87,26,"Lombardy","Malavasi Daniele 2011 San Giacomo  (Lugana)","Turbiana","Malavasi Daniele"
"1138","South Africa",90,23,"Western Cape","Spier 2014 21 Gables Chenin Blanc (Western Cape)","Chenin Blanc","Spier"
"1139","US",87,35,"California","Frank Family 2012 Chardonnay (Carneros)","Chardonnay","Frank Family"
"1140","US",92,38,"California","Testarossa 2015 Chardonnay (Sta. Rita Hills)","Chardonnay","Testarossa"
"1141","US",92,30,"Oregon","Cristom 2014 Estate Viognier (Eola-Amity Hills)","Viognier","Cristom"
"1142","US",83,11,"California","Haute Red 2010 Pinot Noir (California)","Pinot Noir","Haute Red"
"1143","Italy",90,39,"Tuscany","Castello Banfi 2007 Belnero Sangiovese (Toscana)","Sangiovese","Castello Banfi"
"1144","France",88,NA,"Bordeaux","Château Baracan 2010  Cadillac Côtes de Bordeaux","Bordeaux-style Red Blend","Château Baracan"
"1145","US",90,40,"California","Sonnet 2013 Tondre's Grapefield Pinot Noir (Santa Lucia Highlands)","Pinot Noir","Sonnet"
"1146","US",90,40,"Washington","Januik 2014 Cabernet Sauvignon (Red Mountain)","Cabernet Sauvignon","Januik"
"1147","US",87,20,"Oregon","Airlie 2014 Two Vineyard Old Vines Dry Riesling (Willamette Valley)","Riesling","Airlie"
"1148","US",88,34,"Oregon","Franchere 2014 Zenith Vineyard Pinot Noir (Eola-Amity Hills)","Pinot Noir","Franchere"
"1149","Italy",83,11,"Tuscany","Querceto 2000  Chianti Classico","Sangiovese","Querceto"
"1150","US",90,45,"California","Keller Estate 2010 La Cruz Vineyard Pinot Noir (Sonoma Coast)","Pinot Noir","Keller Estate"
"1151","France",84,NA,"Burgundy","Cave de Lugny 2010 La Côte Blanche  (Mâcon-Villages)","Chardonnay","Cave de Lugny"
"1152","France",90,50,"Champagne","Lanson NV Black Label Brut  (Champagne)","Champagne Blend","Lanson"
"1153","Italy",92,48,"Piedmont","Palladino 2006 Serralunga  (Barolo)","Nebbiolo","Palladino"
"1154","US",89,55,"California","In Re 2008 Cabernet Sauvignon (Oak Knoll District)","Cabernet Sauvignon","In Re"
"1155","US",85,70,"California","J. Moss Wines 2012 Steffensen Vineyard Cabernet Sauvignon (Coombsville)","Cabernet Sauvignon","J. Moss Wines"
"1156","Italy",88,27,"Piedmont","Massolino 2014  Barbera d'Alba","Barbera","Massolino"
"1157","France",86,NA,"Alsace","Pierre Sparr 2012 Pinot Blanc (Alsace)","Pinot Blanc","Pierre Sparr"
